 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 03, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\17N_CD2.txt.txt

 Ion = Nitrogen [7] , Mass = 17 amu

 Target Density =  9.1800E-01 g/cm3 = 1.1039E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    033.33    007.18   
      C      6    016.67    042.82   
      H      1    033.33    007.18   
      C      6    016.67    042.82   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  80.00 MeV   3.802E+02  2.062E-01  135.07 um     5.23 um     9354 A   
  90.00 MeV   3.487E+02  1.856E-01  162.53 um     6.52 um     1.08 um  
 100.00 MeV   3.224E+02  1.690E-01  192.36 um     7.77 um     1.24 um  
 110.00 MeV   3.001E+02  1.552E-01  224.50 um     9.01 um     1.41 um  
 120.00 MeV   2.808E+02  1.436E-01  258.95 um    10.25 um     1.59 um  
 130.00 MeV   2.640E+02  1.336E-01  295.67 um    11.50 um     1.78 um  
 140.00 MeV   2.492E+02  1.250E-01  334.64 um    12.76 um     1.98 um  
 150.00 MeV   2.361E+02  1.175E-01  375.86 um    14.03 um     2.20 um  
 160.00 MeV   2.243E+02  1.109E-01  419.31 um    15.33 um     2.43 um  
 170.00 MeV   2.136E+02  1.050E-01  464.99 um    16.64 um     2.66 um  
 180.00 MeV   2.040E+02  9.977E-02  512.88 um    17.98 um     2.91 um  
 200.00 MeV   1.871E+02  9.074E-02  615.26 um    23.10 um     3.44 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.0894E-02                keV / (ug/cm2) 
  1.0894E-02                MeV / (mg/cm2) 
  1.0894E+01                keV / (mg/cm2) 
  9.0591E-02                 eV / (1E15 atoms/cm2)
  1.7541E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
